city,state,state code,country code,country
Cotuit,Massachusetts,MA,US,United States
Dry Prong,Louisiana,LA,US,United States
Morgantown,Virginia,VA,US,United States
Saint Joseph,Minnesota,MN,US,United States
Kountze,Texas,TX,US,United States
Lake Forest,Illinois,IL,US,United States
Kenmore,New York,NY,US,United States
Cambridge High School,Ohio,OH,US,United States
Westfield,New Jersey,NJ,US,United States
Hobbs,New Mexico,NM,US,United States
Horseshoe Bay,Texas,TX,US,United States
Manheim Township,Pennsylvania,PA,US,United States
Borough of Friendsville,Pennsylvania,PA,US,United States
Brandon,South Dakota,SD,US,United States
South Park,Colorado,CO,US,United States
Bluffton,Indiana,IN,US,United States
Utopia Park Lake,Texas,TX,US,United States
Swissvale,Pennsylvania,PA,US,United States
Elba,Alabama,AL,US,United States
Rutherford,New Jersey,NJ,US,United States
Royse City,Texas,TX,US,United States
Ridgeland,Mississippi,MS,US,United States
Henryville,Pennsylvania,PA,US,United States
Albany,Missouri,MO,US,United States
Saylorsburg,Pennsylvania,PA,US,United States
Du Bois,Pennsylvania,PA,US,United States
Bradley Beach,New Jersey,NJ,US,United States
Elida,Ohio,OH,US,United States
Westwego,Louisiana,LA,US,United States
El Dorado Springs,Missouri,MO,US,United States
Whitwell,Tennessee,TN,US,United States
Ellington,Connecticut,CT,US,United States
Lebanon,Kentucky,KY,US,United States
Powder Hill,Connecticut,CT,US,United States
Palisade,Colorado,CO,US,United States
Batesland,South Dakota,SD,US,United States
Munith,Michigan,MI,US,United States
Parchman,Mississippi,MS,US,United States
Mays Landing,New Jersey,NJ,US,United States
Brackney,Pennsylvania,PA,US,United States
Gallatin,Texas,TX,US,United States
Cassopolis,Michigan,MI,US,United States
Fordyce,Arkansas,AR,US,United States
Crescent City,California,CA,US,United States
Palmyra,Missouri,MO,US,United States
Corona (historical),California,CA,US,United States
Centerville,Mississippi,MS,US,United States
Grays Lake,Illinois,IL,US,United States
Pendleton,Oregon,OR,US,United States
Carneys Point,New Jersey,NJ,US,United States
Pontiac Township,Illinois,IL,US,United States
Endwell,New York,NY,US,United States
Checotah,Oklahoma,OK,US,United States
Coleraine,Minnesota,MN,US,United States
Newton,Kansas,KS,US,United States
Inlet,New York,NY,US,United States
El Prado,New Mexico,NM,US,United States
Scribner,Nebraska,NE,US,United States
Leigh,Nebraska,NE,US,United States
Glen Echo,Maryland,MD,US,United States
Eaton,Ohio,OH,US,United States
Rollinsville,Colorado,CO,US,United States
El Cerrito,California,CA,US,United States
Gig Harbor,Washington,WA,US,United States
Walden,New York,NY,US,United States
Big Lake,Texas,TX,US,United States
Rancho Bernardo,California,CA,US,United States
Island Park,Idaho,ID,US,United States
Saint Anthony,North Dakota,ND,US,United States
Idaho Springs,Colorado,CO,US,United States
Kapolei,Hawaii,HI,US,United States
Silver Lake,Ohio,OH,US,United States
Wellersburg,Pennsylvania,PA,US,United States
Mammoth,California,CA,US,United States
Middlesboro,Kentucky,KY,US,United States
Luverne,Minnesota,MN,US,United States
Terlingua,Texas,TX,US,United States
Mason,Texas,TX,US,United States
Earlville,Iowa,IA,US,United States
McKee,Kentucky,KY,US,United States
Pleasant Grove,Illinois,IL,US,United States
Kemmerer,Wyoming,WY,US,United States
Woodcock Township,Pennsylvania,PA,US,United States
Coon Rapids,Iowa,IA,US,United States
Village of Orange,Ohio,OH,US,United States
Festina,Iowa,IA,US,United States
Cardwell,Montana,MT,US,United States
Williams,Arizona,AZ,US,United States
Holland,Vermont,VT,US,United States
Granville,Pennsylvania,PA,US,United States
Lawrenceville,Pennsylvania,PA,US,United States
Dane,Wisconsin,WI,US,United States
Harrison Township,Ohio,OH,US,United States
White Castle,Louisiana,LA,US,United States
Rosedale,Maryland,MD,US,United States
Wilton,New Hampshire,NH,US,United States
Shannon,Illinois,IL,US,United States
Phoenix,Maryland,MD,US,United States
Wynne,Arkansas,AR,US,United States
Bouckville,New York,NY,US,United States
Town of Moravia,New York,NY,US,United States
Glen Park,New York,NY,US,United States
Easton,Connecticut,CT,US,United States
Pinos Altos,New Mexico,NM,US,United States
Harrisburg,Arkansas,AR,US,United States
Chester,New Jersey,NJ,US,United States
University of California - Irvine,California,CA,US,United States
Ririe,Idaho,ID,US,United States
Askewville,North Carolina,NC,US,United States
Westmont,New Jersey,NJ,US,United States
Rangeley,Maine,ME,US,United States
Grants,New Mexico,NM,US,United States
Belmont,California,CA,US,United States
Fort Defiance,Arizona,AZ,US,United States
Mount Vernon,Illinois,IL,US,United States
Riley County,Kansas,KS,US,United States
Buena,New Jersey,NJ,US,United States
Cape Girardeau County,Missouri,MO,US,United States
Cable,Wisconsin,WI,US,United States
Eustis,Florida,FL,US,United States
Greenback,Tennessee,TN,US,United States
Franklin,Georgia,GA,US,United States
Belleville,Michigan,MI,US,United States
Freeport,Florida,FL,US,United States
Orrville,Indiana,IN,US,United States
Greenwood,South Carolina,SC,US,United States
Greene County,Pennsylvania,PA,US,United States
Earth City,Missouri,MO,US,United States
Ceres,California,CA,US,United States
Atherton,California,CA,US,United States
Anthony Township,Kansas,KS,US,United States
Burnsville,North Carolina,NC,US,United States
Forestville,North Carolina,NC,US,United States
Breaux Bridge,Louisiana,LA,US,United States
Los Alamos,New Mexico,NM,US,United States
Norwood,Louisiana,LA,US,United States
Lyons Township,Illinois,IL,US,United States
Terre Haute,Iowa,IA,US,United States
New Berlin,Pennsylvania,PA,US,United States
Bowie,Texas,TX,US,United States
Douglas,Arizona,AZ,US,United States
Winsted,Connecticut,CT,US,United States
Northville,New York,NY,US,United States
Marana,Arizona,AZ,US,United States
Norristown,Pennsylvania,PA,US,United States
Fort Hunter,New York,NY,US,United States
Halethorpe,Maryland,MD,US,United States
Lebanon,Ohio,OH,US,United States
Pampa,Texas,TX,US,United States
Bedford,Indiana,IN,US,United States
Union City,Tennessee,TN,US,United States
Covington,Tennessee,TN,US,United States
Blackhawk,South Dakota,SD,US,United States
Kings Mountain,North Carolina,NC,US,United States
Hartford City,Indiana,IN,US,United States
Deposit,New York,NY,US,United States
McArthur,Ohio,OH,US,United States
Cardington,Ohio,OH,US,United States
Henry County,Georgia,GA,US,United States
Mackinac Island,Michigan,MI,US,United States
Durant,Oklahoma,OK,US,United States
Gardner,Massachusetts,MA,US,United States
Teton Village,Wyoming,WY,US,United States
Rancho Cucamonga,California,CA,US,United States
West Springfield,Massachusetts,MA,US,United States
Franklin,Ohio,OH,US,United States
Southgate,Michigan,MI,US,United States
North Richland Hills,Texas,TX,US,United States
Castaic Lake,California,CA,US,United States
Canton,Massachusetts,MA,US,United States
Harahan,Louisiana,LA,US,United States
Hackettstown,New Jersey,NJ,US,United States
Napa,California,CA,US,United States
Pennsauken,New Jersey,NJ,US,United States
Bowling Green,Kentucky,KY,US,United States
Staten Island,New York,NY,US,United States
Hilton,New York,NY,US,United States
Texarkana,Arkansas,AR,US,United States
Pleasant Hill,California,CA,US,United States
Schwenksville,Pennsylvania,PA,US,United States
Point Napean,Alaska,AK,US,United States
Boerne,Texas,TX,US,United States
Ocean City,New Jersey,NJ,US,United States
Plant City,Florida,FL,US,United States
Gulf Shores,Alabama,AL,US,United States
Bolingbrook,Illinois,IL,US,United States
Moon,Pennsylvania,PA,US,United States
Lahaina,Hawaii,HI,US,United States
West Dundee,Illinois,IL,US,United States
Greeley,Colorado,CO,US,United States
Montpelier,Vermont,VT,US,United States
Essex,Maryland,MD,US,United States
Forest Lake,Minnesota,MN,US,United States
Corvallis,Oregon,OR,US,United States
Southampton,New York,NY,US,United States
Willimantic,Connecticut,CT,US,United States
Florence,Alabama,AL,US,United States
Eureka,Missouri,MO,US,United States
Eclectic,Alabama,AL,US,United States
Covington,Louisiana,LA,US,United States
Merced,California,CA,US,United States
Keene,New Hampshire,NH,US,United States
Victoria,Texas,TX,US,United States
Niantic,Connecticut,CT,US,United States
Philadelphia,Mississippi,MS,US,United States
Lincoln,California,CA,US,United States
Westwood,California,CA,US,United States
Cheektowaga,New York,NY,US,United States
Yucaipa,California,CA,US,United States
Goose Creek,South Carolina,SC,US,United States
Long Branch,New Jersey,NJ,US,United States
Sterling,Colorado,CO,US,United States
Blanchester,Ohio,OH,US,United States
Anderson Township,Indiana,IN,US,United States
Matawan,New Jersey,NJ,US,United States
Milford,Texas,TX,US,United States
Dover,Arkansas,AR,US,United States
Dardanelle,Arkansas,AR,US,United States
Town of Genesee,New York,NY,US,United States
Emmons,Minnesota,MN,US,United States
Seymour,Texas,TX,US,United States
San Lorenzo,California,CA,US,United States
De Leon,Texas,TX,US,United States
Gonzales,Texas,TX,US,United States
Springfield,Maine,ME,US,United States
Zachary,Louisiana,LA,US,United States
Summit Point,West Virginia,WV,US,United States
Cuba,Missouri,MO,US,United States
Whitehouse,Texas,TX,US,United States
Washington Township,Ohio,OH,US,United States
Big Moose,New York,NY,US,United States
Belle,Missouri,MO,US,United States
North Bergen,New Jersey,NJ,US,United States
Johns Creek,Georgia,GA,US,United States
Ocracoke,North Carolina,NC,US,United States
Saint Germain,Wisconsin,WI,US,United States
Washington,Illinois,IL,US,United States
Carmel,Iowa,IA,US,United States
Winnsboro,Texas,TX,US,United States
Rushville,Illinois,IL,US,United States
Sprague,Wisconsin,WI,US,United States
Washington Township,Iowa,IA,US,United States
Gosport,Indiana,IN,US,United States
Cambridge,Maryland,MD,US,United States
Monaca,Pennsylvania,PA,US,United States
Manayunk,Pennsylvania,PA,US,United States
Culver,Indiana,IN,US,United States
Delmar,New York,NY,US,United States
Boyne Falls,Michigan,MI,US,United States
Bensenville,Illinois,IL,US,United States
Mahomet,Illinois,IL,US,United States
Crystal Lake,Illinois,IL,US,United States
Vandalia,Illinois,IL,US,United States
Kihei,Hawaii,HI,US,United States
Mechanic Falls,Maine,ME,US,United States
Union Beach,New Jersey,NJ,US,United States
Palatka,Florida,FL,US,United States
Carnesville,Georgia,GA,US,United States
Kittery Point,Maine,ME,US,United States
Bountiful,Utah,UT,US,United States
Chicago Ridge,Illinois,IL,US,United States
Mohawk,New York,NY,US,United States
Rockdale,Texas,TX,US,United States
Camp Verde,Arizona,AZ,US,United States
Carmel,New York,NY,US,United States
Mescalero,New Mexico,NM,US,United States
Red Bluff,California,CA,US,United States
Wentzville,Missouri,MO,US,United States
Santee,California,CA,US,United States
Pala,California,CA,US,United States
Oak Brook,Illinois,IL,US,United States
Bucyrus,Ohio,OH,US,United States
Seward,Nebraska,NE,US,United States
Silver Creek,Colorado,CO,US,United States
Sheboygan,Wisconsin,WI,US,United States
Paola,Kansas,KS,US,United States
Brookfield,Wisconsin,WI,US,United States
Crystal Lake,Illinois,IL,US,United States
Shrewsbury,Massachusetts,MA,US,United States
Brownfield,Maine,ME,US,United States
Newberry,South Carolina,SC,US,United States
York,South Carolina,SC,US,United States
Syracuse,Indiana,IN,US,United States
Hanover Park,Illinois,IL,US,United States
Londonderry,New Hampshire,NH,US,United States
Torrance,California,CA,US,United States
Easton,Maryland,MD,US,United States
Acoma Pueblo Indian Land,New Mexico,NM,US,United States
Monroe,Louisiana,LA,US,United States
Valhalla,New York,NY,US,United States
Independence,Missouri,MO,US,United States
Sandy City,Utah,UT,US,United States
Bridgeville,Pennsylvania,PA,US,United States
Morris,Illinois,IL,US,United States
Tybee Island,Georgia,GA,US,United States
Hurley,New York,NY,US,United States
Stratton,Vermont,VT,US,United States
Jefferson,Wisconsin,WI,US,United States
San Leandro,California,CA,US,United States
Combined Locks,Wisconsin,WI,US,United States
Grand Island,Nebraska,NE,US,United States
Palos Verdes Estates,California,CA,US,United States
Monticello,Illinois,IL,US,United States
Twin Bridges,Louisiana,LA,US,United States
Houma,Louisiana,LA,US,United States
Wattsburg,Pennsylvania,PA,US,United States
Winter Park,Florida,FL,US,United States
Ringwood,New Jersey,NJ,US,United States
Oxnard,California,CA,US,United States
Girard,Pennsylvania,PA,US,United States
Shirleysburg,Pennsylvania,PA,US,United States
Santa Maria,California,CA,US,United States
Doswell,Virginia,VA,US,United States
Mooresville,North Carolina,NC,US,United States
Durant,Oklahoma,OK,US,United States
Gardner,Massachusetts,MA,US,United States
Teton Village,Wyoming,WY,US,United States
Rancho Cucamonga,California,CA,US,United States
West Springfield,Massachusetts,MA,US,United States
Franklin,Ohio,OH,US,United States
Southgate,Michigan,MI,US,United States
North Richland Hills,Texas,TX,US,United States
Castaic Lake,California,CA,US,United States
Canton,Massachusetts,MA,US,United States
Harahan,Louisiana,LA,US,United States
Hackettstown,New Jersey,NJ,US,United States
Napa,California,CA,US,United States
Pennsauken,New Jersey,NJ,US,United States
Bowling Green,Kentucky,KY,US,United States
Staten Island,New York,NY,US,United States
Hilton,New York,NY,US,United States
Texarkana,Arkansas,AR,US,United States
Pleasant Hill,California,CA,US,United States
Schwenksville,Pennsylvania,PA,US,United States
Point Napean,Alaska,AK,US,United States
Boerne,Texas,TX,US,United States
Ocean City,New Jersey,NJ,US,United States
Plant City,Florida,FL,US,United States
Gulf Shores,Alabama,AL,US,United States
Bolingbrook,Illinois,IL,US,United States
Moon,Pennsylvania,PA,US,United States
Lahaina,Hawaii,HI,US,United States
West Dundee,Illinois,IL,US,United States
Greeley,Colorado,CO,US,United States
Montpelier,Vermont,VT,US,United States
Essex,Maryland,MD,US,United States
Forest Lake,Minnesota,MN,US,United States
Corvallis,Oregon,OR,US,United States
Southampton,New York,NY,US,United States
Willimantic,Connecticut,CT,US,United States
Florence,Alabama,AL,US,United States
Eureka,Missouri,MO,US,United States
Eclectic,Alabama,AL,US,United States
Covington,Louisiana,LA,US,United States
Merced,California,CA,US,United States
Keene,New Hampshire,NH,US,United States
Victoria,Texas,TX,US,United States
Niantic,Connecticut,CT,US,United States
Philadelphia,Mississippi,MS,US,United States
Lincoln,California,CA,US,United States
Westwood,California,CA,US,United States
Cheektowaga,New York,NY,US,United States
Yucaipa,California,CA,US,United States
Goose Creek,South Carolina,SC,US,United States
Grand Junction,Michigan,MI,US,United States
Plymouth,New Hampshire,NH,US,United States
Collegeville,Pennsylvania,PA,US,United States
Dublin,Ohio,OH,US,United States
Waterford,Michigan,MI,US,United States
Leesburg,Virginia,VA,US,United States
Sewell,New Jersey,NJ,US,United States
Antioch,Illinois,IL,US,United States
Spanish Fort,Alabama,AL,US,United States
Mize,Mississippi,MS,US,United States
Steamboat Springs,Colorado,CO,US,United States
Kingsville,Maryland,MD,US,United States
Taylorsville,Utah,UT,US,United States
Linden,Texas,TX,US,United States
Goldendale,Washington,WA,US,United States
Wiscasset,Maine,ME,US,United States
Lake Delton,Wisconsin,WI,US,United States
Gainesville,Georgia,GA,US,United States
Chesapeake,Virginia,VA,US,United States
Westminster,Maryland,MD,US,United States
West Des Moines,Iowa,IA,US,United States
Lisle,Illinois,IL,US,United States
Kingston,Oklahoma,OK,US,United States
Mount Morris,Michigan,MI,US,United States
Farmington Hills,Michigan,MI,US,United States
Seminole,Florida,FL,US,United States
Foothill Farms,California,CA,US,United States
Mamaroneck,New York,NY,US,United States
Lighthouse Point,Florida,FL,US,United States
Micanopy,Florida,FL,US,United States
Eastpointe,Michigan,MI,US,United States
Woodbridge,New Jersey,NJ,US,United States
Riverdale,New Jersey,NJ,US,United States
Loudonville,New York,NY,US,United States
Falcon Heights,Minnesota,MN,US,United States
Crest Hill,Illinois,IL,US,United States
Bellvue,Colorado,CO,US,United States
Chester,Pennsylvania,PA,US,United States
Cave-in-Rock,Illinois,IL,US,United States
Glen Flora,Wisconsin,WI,US,United States
Devon,Pennsylvania,PA,US,United States
Oak Hill,New York,NY,US,United States
Beaverton,Oregon,OR,US,United States
Du Quoin State Fairground,Illinois,IL,US,United States
Garrettsville,Ohio,OH,US,United States
Obetz,Ohio,OH,US,United States
Eastpointe,Michigan,MI,US,United States
Woodbridge,New Jersey,NJ,US,United States
Riverdale,New Jersey,NJ,US,United States
Loudonville,New York,NY,US,United States
Falcon Heights,Minnesota,MN,US,United States
Crest Hill,Illinois,IL,US,United States
Bellvue,Colorado,CO,US,United States
Chester,Pennsylvania,PA,US,United States
Cave-in-Rock,Illinois,IL,US,United States
Glen Flora,Wisconsin,WI,US,United States
Devon,Pennsylvania,PA,US,United States
Oak Hill,New York,NY,US,United States
Beaverton,Oregon,OR,US,United States
Du Quoin State Fairground,Illinois,IL,US,United States
Garrettsville,Ohio,OH,US,United States
Obetz,Ohio,OH,US,United States
Tama,Iowa,IA,US,United States
Jefferson Township,New Jersey,NJ,US,United States
Lindon,Utah,UT,US,United States
Timonium,Maryland,MD,US,United States
Chicago Ridge,Illinois,IL,US,United States
Mohawk,New York,NY,US,United States
Rockdale,Texas,TX,US,United States
Camp Verde,Arizona,AZ,US,United States
Carmel,New York,NY,US,United States
Mescalero,New Mexico,NM,US,United States
Red Bluff,California,CA,US,United States
Wentzville,Missouri,MO,US,United States
Santee,California,CA,US,United States
Pala,California,CA,US,United States
Oak Brook,Illinois,IL,US,United States
Bucyrus,Ohio,OH,US,United States
Seward,Nebraska,NE,US,United States
Silver Creek,Colorado,CO,US,United States
Sheboygan,Wisconsin,WI,US,United States
Paola,Kansas,KS,US,United States
Brookfield,Wisconsin,WI,US,United States
Crystal Lake,Illinois,IL,US,United States
Shrewsbury,Massachusetts,MA,US,United States
Brownfield,Maine,ME,US,United States
Newberry,South Carolina,SC,US,United States
York,South Carolina,SC,US,United States
Syracuse,Indiana,IN,US,United States
Hanover Park,Illinois,IL,US,United States
Londonderry,New Hampshire,NH,US,United States
Torrance,California,CA,US,United States
Easton,Maryland,MD,US,United States
Acoma Pueblo Indian Land,New Mexico,NM,US,United States
Monroe,Louisiana,LA,US,United States
Valhalla,New York,NY,US,United States
Winter Park,Florida,FL,US,United States
Ringwood,New Jersey,NJ,US,United States
Oxnard,California,CA,US,United States
Girard,Pennsylvania,PA,US,United States
Bordentown,New Jersey,NJ,US,United States
Camp Hill,Pennsylvania,PA,US,United States
Dothan,Alabama,AL,US,United States
Lyndeborough,New Hampshire,NH,US,United States
Livingston,New Jersey,NJ,US,United States
Wilson,North Carolina,NC,US,United States
New London,New York,NY,US,United States
Spicewood,Texas,TX,US,United States
Irwin,Pennsylvania,PA,US,United States
Slippery Rock,Pennsylvania,PA,US,United States
Bremen,Ohio,OH,US,United States
Vermillion,South Dakota,SD,US,United States
Manassas,Virginia,VA,US,United States
Caldwell,Idaho,ID,US,United States
Compton,California,CA,US,United States
Hicksville,New York,NY,US,United States
Paramus,New Jersey,NJ,US,United States
Malibu,California,CA,US,United States
Kingston,Tennessee,TN,US,United States
Dix Hills,New York,NY,US,United States
Oak Ridge,Tennessee,TN,US,United States
Ivins,Utah,UT,US,United States
Provincetown,Massachusetts,MA,US,United States
Manteca,California,CA,US,United States
Kingston,Pennsylvania,PA,US,United States
Randolph,Vermont,VT,US,United States
Dover,Delaware,DE,US,United States
Woxall,Pennsylvania,PA,US,United States
Avon,Indiana,IN,US,United States
Lexington,South Carolina,SC,US,United States
Hickory Hills,Illinois,IL,US,United States
Suffern,New York,NY,US,United States
Norfolk,Nebraska,NE,US,United States
Arcadia,Indiana,IN,US,United States
Levittown,Pennsylvania,PA,US,United States
Grand Ronde,Oregon,OR,US,United States
Soldotna,Alaska,AK,US,United States
Buford,Georgia,GA,US,United States
Martinsville,New Jersey,NJ,US,United States
Penn Hills,Pennsylvania,PA,US,United States
Pennellville,New York,NY,US,United States
Aliquippa,Pennsylvania,PA,US,United States
Singer Island,Florida,FL,US,United States
Chatham,New York,NY,US,United States
Fort Leavenworth National Cemetery,Kansas,KS,US,United States
Metuchen,New Jersey,NJ,US,United States
Franklin,Indiana,IN,US,United States
Sweeden,Kentucky,KY,US,United States
Port Jervis,New York,NY,US,United States
Shirley,Massachusetts,MA,US,United States
Ulmer,South Carolina,SC,US,United States
Hunt Valley,Maryland,MD,US,United States
Northampton,Pennsylvania,PA,US,United States
Laguna Beach,California,CA,US,United States
Auburn,Maine,ME,US,United States
Scotch Plains,New Jersey,NJ,US,United States
New Bern,North Carolina,NC,US,United States
Merriam,Kansas,KS,US,United States
Steubenville,Ohio,OH,US,United States
Gambier,Ohio,OH,US,United States
Mercedes,Texas,TX,US,United States
Paterson,New Jersey,NJ,US,United States
Poteau,Oklahoma,OK,US,United States
Valley Forge,Pennsylvania,PA,US,United States
Greenwood,Virginia,VA,US,United States
Dodge City,Kansas,KS,US,United States
Martinsburg,West Virginia,WV,US,United States
Williamsport,Maryland,MD,US,United States
Wichita Falls,Texas,TX,US,United States
Hankinson,North Dakota,ND,US,United States
Shirley,New York,NY,US,United States
Hazlet,New Jersey,NJ,US,United States
Glendora,California,CA,US,United States
Pensacola Beach,Florida,FL,US,United States
Steger,Illinois,IL,US,United States
Indian Wells,California,CA,US,United States
Moses Lake,Washington,WA,US,United States
Bel Air,Maryland,MD,US,United States
Camp Shaginappi,Wisconsin,WI,US,United States
Smithville,Missouri,MO,US,United States
Isla Vista,California,CA,US,United States
Clovis,California,CA,US,United States
Hamilton,Ohio,OH,US,United States
Blasdell,New York,NY,US,United States
New London,New Hampshire,NH,US,United States
Amery,Wisconsin,WI,US,United States
Curtiss,Wisconsin,WI,US,United States
Cocoa Beach,Florida,FL,US,United States
Rockport,Massachusetts,MA,US,United States
Madison County,Alabama,AL,US,United States
Watertown,New York,NY,US,United States
Thornville,Ohio,OH,US,United States
Shepherdstown,West Virginia,WV,US,United States
Doral,Florida,FL,US,United States
Concord,Massachusetts,MA,US,United States
New Lenox,Illinois,IL,US,United States
Walla Walla,Washington,WA,US,United States
Jericho,New York,NY,US,United States
Massillon,Ohio,OH,US,United States
Winnemucca,Nevada,NV,US,United States
Redding,Connecticut,CT,US,United States
Attica,Indiana,IN,US,United States
Carson City,Nevada,NV,US,United States
Okaloosa,Louisiana,LA,US,United States
Whitehall,Pennsylvania,PA,US,United States
Perrysburg,Ohio,OH,US,United States
Brandywine,Maryland,MD,US,United States
Selma,Alabama,AL,US,United States
Tiffin,Ohio,OH,US,United States
Cleveland,Tennessee,TN,US,United States
San Ramon,California,CA,US,United States
New Hyde Park,New York,NY,US,United States
Wake Forest,North Carolina,NC,US,United States
Fair Haven,Vermont,VT,US,United States
Harlingen,Texas,TX,US,United States
Freer,Texas,TX,US,United States
Belmar,New Jersey,NJ,US,United States
Taos,New Mexico,NM,US,United States
Rockwall,Texas,TX,US,United States
Jerome,Idaho,ID,US,United States
Batavia,Illinois,IL,US,United States
Whitewater,Wisconsin,WI,US,United States
Burlington,Wisconsin,WI,US,United States
Georgetown,"Washington, D.C.",DC,US,United States
Huron,South Dakota,SD,US,United States
Hinckley,Ohio,OH,US,United States
Rochester,New Hampshire,NH,US,United States
Kingston,New Hampshire,NH,US,United States
Columbia,Tennessee,TN,US,United States
Turtle Lake,Wisconsin,WI,US,United States
Pyramid Lake,Nevada,NV,US,United States
East Quogue,New York,NY,US,United States
Spencer,Iowa,IA,US,United States
Rome,Georgia,GA,US,United States
Huntsville,Texas,TX,US,United States
Georgetown,Delaware,DE,US,United States
Monticello,Iowa,IA,US,United States
Belfast,New York,NY,US,United States
Presque Isle,Maine,ME,US,United States
Strasburg,Virginia,VA,US,United States
Broussard,Louisiana,LA,US,United States
Wyomissing,Pennsylvania,PA,US,United States
Crossville,Tennessee,TN,US,United States
Volney,New York,NY,US,United States
Pflugerville,Texas,TX,US,United States
Woonsocket,Rhode Island,RI,US,United States
Seneca Falls,New York,NY,US,United States
Terra Alta,West Virginia,WV,US,United States
Peru,Illinois,IL,US,United States
Brunswick,Georgia,GA,US,United States
Buckeye,Arizona,AZ,US,United States
Staatsburg,New York,NY,US,United States
Bow,Washington,WA,US,United States
Boulder City,Nevada,NV,US,United States
Conley,Georgia,GA,US,United States
Moosic,Pennsylvania,PA,US,United States
Hogansburg,New York,NY,US,United States
Orkney Springs,Virginia,VA,US,United States
Bethelem Church,Pennsylvania,PA,US,United States
Point Pleasant,West Virginia,WV,US,United States
Brooklyn,Michigan,MI,US,United States
Molalla,Oregon,OR,US,United States
Marion,South Carolina,SC,US,United States
Lawrenceville,New Jersey,NJ,US,United States
Palisades Park,New Jersey,NJ,US,United States
East Providence,Rhode Island,RI,US,United States
Houghton,New York,NY,US,United States
Upper Montclair,New Jersey,NJ,US,United States
Newton,New Jersey,NJ,US,United States
Wayne,Nebraska,NE,US,United States
Longmont,Colorado,CO,US,United States
Centerville,Ohio,OH,US,United States
West Chester,Ohio,OH,US,United States
Marshall,North Carolina,NC,US,United States
Takoma Park,Maryland,MD,US,United States
Laconia,New Hampshire,NH,US,United States
Tannersville,New York,NY,US,United States
Creston,Illinois,IL,US,United States
Lumberton,New Jersey,NJ,US,United States
Canyon,Texas,TX,US,United States
Egg Harbor Township,New Jersey,NJ,US,United States
Mount Holly,New Jersey,NJ,US,United States
Mt. Pocono,Pennsylvania,PA,US,United States
Great Falls,Virginia,VA,US,United States
Clawson,Michigan,MI,US,United States
Chalfont,Pennsylvania,PA,US,United States
Deerfield Beach,Florida,FL,US,United States
Winder,Georgia,GA,US,United States
Carnegie,Pennsylvania,PA,US,United States
Simi Valley,California,CA,US,United States
Woodside,California,CA,US,United States
Katy,Texas,TX,US,United States
Hopkins,Minnesota,MN,US,United States
Bena,Virginia,VA,US,United States
Union City,New Jersey,NJ,US,United States
Belle Vernon,Pennsylvania,PA,US,United States
Mt. Pocono,Pennsylvania,PA,US,United States
Great Falls,Virginia,VA,US,United States
Clawson,Michigan,MI,US,United States
Chalfont,Pennsylvania,PA,US,United States
Deerfield Beach,Florida,FL,US,United States
Winder,Georgia,GA,US,United States
Carnegie,Pennsylvania,PA,US,United States
Simi Valley,California,CA,US,United States
Woodside,California,CA,US,United States
Katy,Texas,TX,US,United States
Hopkins,Minnesota,MN,US,United States
Bena,Virginia,VA,US,United States
Union City,New Jersey,NJ,US,United States
Belle Vernon,Pennsylvania,PA,US,United States
Coventry,Rhode Island,RI,US,United States
Auburn,California,CA,US,United States
Carter Lake,Iowa,IA,US,United States
Slinger,Wisconsin,WI,US,United States
Andover,Minnesota,MN,US,United States
Calistoga,California,CA,US,United States
Prestonsburg,Kentucky,KY,US,United States
Nahcotta,Washington,WA,US,United States
Fort Payne,Alabama,AL,US,United States
Anoka,Minnesota,MN,US,United States
Collegedale,Tennessee,TN,US,United States
Bradenton,Florida,FL,US,United States
Shelton,Washington,WA,US,United States
Mount Kisco,New York,NY,US,United States
Grand Haven,Michigan,MI,US,United States
Fort Atkinson,Wisconsin,WI,US,United States
Cookstown,New Jersey,NJ,US,United States
Greenville,Texas,TX,US,United States
Homer,Alaska,AK,US,United States
Sutter Creek,California,CA,US,United States
Blackfoot,Idaho,ID,US,United States
Baymont I S St Joseph,Michigan,MI,US,United States
Roberts,Montana,MT,US,United States
Socorro,New Mexico,NM,US,United States
Edmond,Oklahoma,OK,US,United States
Brentwood,Tennessee,TN,US,United States
Stratford,Connecticut,CT,US,United States
Bemus Point,New York,NY,US,United States
San Angelo,Texas,TX,US,United States
Cedar Grove,New Jersey,NJ,US,United States
Zumbrota,Minnesota,MN,US,United States
Panama City Beach,Florida,FL,US,United States
Woodland Park,New Jersey,NJ,US,United States
South Elgin,Illinois,IL,US,United States
Sullivan,Illinois,IL,US,United States
Clewiston,Florida,FL,US,United States
Mount Laurel,New Jersey,NJ,US,United States
Rowayton,Connecticut,CT,US,United States
Winterhaven,California,CA,US,United States
Krakow,Wisconsin,WI,US,United States
Plains,Pennsylvania,PA,US,United States
New Albany,Indiana,IN,US,United States
Findlay,Ohio,OH,US,United States
Rowlett,Texas,TX,US,United States
Walla Walla,Washington,WA,US,United States
Jericho,New York,NY,US,United States
Massillon,Ohio,OH,US,United States
Winnemucca,Nevada,NV,US,United States
Redding,Connecticut,CT,US,United States
Attica,Indiana,IN,US,United States
Carson City,Nevada,NV,US,United States
Okaloosa,Louisiana,LA,US,United States
Whitehall,Pennsylvania,PA,US,United States
Perrysburg,Ohio,OH,US,United States
