city,state,state code,country code,country
Nersingen,Bavaria,02,DE,Germany
Jesteburg,Lower Saxony,06,DE,Germany
"Eisleben, Lutherstadt",Saxony-Anhalt,14,DE,Germany
Dorfen,Bavaria,02,DE,Germany
Niederkrüchten,North Rhine-Westphalia,07,DE,Germany
Hohen Neuendorf,Brandenburg,11,DE,Germany
Dachau,Bavaria,02,DE,Germany
Bevern,Lower Saxony,06,DE,Germany
Schmochtitz,Saxony,13,DE,Germany
Rendsburg,Schleswig-Holstein,10,DE,Germany
Husum,Lower Saxony,06,DE,Germany
Wismar,Saxony-Anhalt,14,DE,Germany
Niese,North Rhine-Westphalia,07,DE,Germany
Cottbus,Brandenburg,11,DE,Germany
Rosengarten,Schleswig-Holstein,10,DE,Germany
Roitzschjora,Saxony,13,DE,Germany
Wegberg,North Rhine-Westphalia,07,DE,Germany
Sankt Ingbert,Saarland,09,DE,Germany
Helmstedt,Lower Saxony,06,DE,Germany
Wolfhagen,North Rhine-Westphalia,07,DE,Germany
Meppen,Lower Saxony,06,DE,Germany
Arnsberg,North Rhine-Westphalia,07,DE,Germany
Donaueschingen,Baden-Württemberg,01,DE,Germany
Coesfeld,North Rhine-Westphalia,07,DE,Germany
Geislingen an der Steige,Baden-Württemberg,01,DE,Germany
Euskirchen,North Rhine-Westphalia,07,DE,Germany
Siegen,North Rhine-Westphalia,07,DE,Germany
Gomaringen,Baden-Württemberg,01,DE,Germany
Oschersleben,Saxony-Anhalt,14,DE,Germany
Berlin,Berlin,16,DE,Germany
Schwäbisch Gmünd,Baden-Württemberg,01,DE,Germany
Kelsterbach,Hesse,05,DE,Germany
Chemnitz,Saxony,13,DE,Germany
Bad Doberan,Mecklenburg-Vorpommern,12,DE,Germany
Dettenheim,Baden-Württemberg,01,DE,Germany
Augsburg,Bavaria,02,DE,Germany
Biberach,Baden-Württemberg,01,DE,Germany
Heidenheim,Baden-Württemberg,01,DE,Germany
Ellrich,Thuringia,15,DE,Germany
Rosenheim,Bavaria,02,DE,Germany
Reichelsheim,Hesse,05,DE,Germany
Spreenhagen,Brandenburg,11,DE,Germany
Castrop-Rauxel,North Rhine-Westphalia,07,DE,Germany
Vechta,Lower Saxony,06,DE,Germany
Münster,North Rhine-Westphalia,07,DE,Germany
Stadtallendorf,Hesse,05,DE,Germany
Ettlingen,Baden-Württemberg,01,DE,Germany
Schierling,Bavaria,02,DE,Germany
Bielstein,North Rhine-Westphalia,07,DE,Germany
Bitterfeld,Saxony,13,DE,Germany
Alsdorf,Rhineland-Palatinate,08,DE,Germany
Bad Tölz,Bavaria,02,DE,Germany
Sankt Leon-Rot,Baden-Württemberg,01,DE,Germany
Lemgo,North Rhine-Westphalia,07,DE,Germany
Saarlouis,Saarland,09,DE,Germany
Memmingen,Bavaria,02,DE,Germany
Bad Berka,Thuringia,15,DE,Germany
Schwerin,Brandenburg,11,DE,Germany
Benediktbeuern,Bavaria,02,DE,Germany
Böblingen,Baden-Württemberg,01,DE,Germany
Adenau,Rhineland-Palatinate,08,DE,Germany
Offenburg,Baden-Württemberg,01,DE,Germany
Darmstadt,Hesse,05,DE,Germany
Potsdam,Brandenburg,11,DE,Germany
Bayreuth,Bavaria,02,DE,Germany
Geretsried,Bavaria,02,DE,Germany
Hanau,Hesse,05,DE,Germany
Erfurt,Thuringia,15,DE,Germany
Wilhelmshaven,Lower Saxony,06,DE,Germany
Ilsenburg,Saxony-Anhalt,14,DE,Germany
Nienburg,Saxony-Anhalt,14,DE,Germany
Dischingen,Baden-Württemberg,01,DE,Germany
Detmold,North Rhine-Westphalia,07,DE,Germany
Bergen,Rhineland-Palatinate,08,DE,Germany
Höxter,North Rhine-Westphalia,07,DE,Germany
Stendal,Saxony-Anhalt,14,DE,Germany
Soest,North Rhine-Westphalia,07,DE,Germany
Hamm,Rhineland-Palatinate,08,DE,Germany
Singen,Baden-Württemberg,01,DE,Germany
Erlangen,Bavaria,02,DE,Germany
Tübingen,Baden-Württemberg,01,DE,Germany
Grefrath,North Rhine-Westphalia,07,DE,Germany
Pforzheim,Baden-Württemberg,01,DE,Germany
Hessisch Lichtenau,Hesse,05,DE,Germany
Haldern,North Rhine-Westphalia,07,DE,Germany
Bad Arolsen,Hesse,05,DE,Germany
Emsdetten,North Rhine-Westphalia,07,DE,Germany
Flensburg,Schleswig-Holstein,10,DE,Germany
Hahn,Rhineland-Palatinate,08,DE,Germany
Kaufbeuren,Bavaria,02,DE,Germany
Neumünster,Saarland,09,DE,Germany
Pirmasens,Rhineland-Palatinate,08,DE,Germany
Blaubeuren,Baden-Württemberg,01,DE,Germany
Weimar,Hesse,05,DE,Germany
Nordhorn,Lower Saxony,06,DE,Germany
Dachau,Bavaria,02,DE,Germany
Bevern,Lower Saxony,06,DE,Germany
Schmochtitz,Saxony,13,DE,Germany
Rendsburg,Schleswig-Holstein,10,DE,Germany
Husum,Lower Saxony,06,DE,Germany
Wismar,Saxony-Anhalt,14,DE,Germany
Niese,North Rhine-Westphalia,07,DE,Germany
Cottbus,Brandenburg,11,DE,Germany
Rosengarten,Schleswig-Holstein,10,DE,Germany
Roitzschjora,Saxony,13,DE,Germany
Kleve,Schleswig-Holstein,10,DE,Germany
Herten,Baden-Württemberg,01,DE,Germany
Rotenhain,Rhineland-Palatinate,08,DE,Germany
Herrenberg,Baden-Württemberg,01,DE,Germany
Tutow,Mecklenburg-Vorpommern,12,DE,Germany
Colditz,Saxony,13,DE,Germany
Kirchanschöring,Bavaria,02,DE,Germany
Mosbach,Baden-Württemberg,01,DE,Germany
Recklinghausen,North Rhine-Westphalia,07,DE,Germany
Friedland,Lower Saxony,06,DE,Germany
Bietigheim-Bissingen,Baden-Württemberg,01,DE,Germany
Oststeinbek,Schleswig-Holstein,10,DE,Germany
Wedel,Lower Saxony,06,DE,Germany
Blekendorf,Schleswig-Holstein,10,DE,Germany
Twistringen,Lower Saxony,06,DE,Germany
Baden,Lower Saxony,06,DE,Germany
Weißenohe,Bavaria,02,DE,Germany
Alzenau in Unterfranken,Bavaria,02,DE,Germany
Meckesheim,Baden-Württemberg,01,DE,Germany
Korbach,Hesse,05,DE,Germany
Kreuth,Bavaria,02,DE,Germany
Pobershau,Saxony,13,DE,Germany
Haslach,Baden-Württemberg,01,DE,Germany
Gaildorf,Baden-Württemberg,01,DE,Germany
Gräfelfing,Bavaria,02,DE,Germany
Bad Nauheim,Hesse,05,DE,Germany
Hauzenberg,Bavaria,02,DE,Germany
Neukirchen-Vluyn,North Rhine-Westphalia,07,DE,Germany
Diepholz,Lower Saxony,06,DE,Germany
Tholey,Saarland,09,DE,Germany
Obersinn,Bavaria,02,DE,Germany
Putlitz,Brandenburg,11,DE,Germany
Telgte,North Rhine-Westphalia,07,DE,Germany
Babenhausen,Bavaria,02,DE,Germany
Kirchveischede,North Rhine-Westphalia,07,DE,Germany
Bürstadt,Hesse,05,DE,Germany
Eutin,Schleswig-Holstein,10,DE,Germany
Weroth,Rhineland-Palatinate,08,DE,Germany
Marne,Schleswig-Holstein,10,DE,Germany
Störmthal,Saxony,13,DE,Germany
Großpösna,Saxony,13,DE,Germany
Höchstadt an der Aisch,Bavaria,02,DE,Germany
Bad Mergentheim,Baden-Württemberg,01,DE,Germany
Georgsmarienhütte,Lower Saxony,06,DE,Germany
Neubiberg,Bavaria,02,DE,Germany
Bruchhausen,North Rhine-Westphalia,07,DE,Germany
Bad Bentheim,Lower Saxony,06,DE,Germany
Kleve,North Rhine-Westphalia,07,DE,Germany
Launsbach,Hesse,05,DE,Germany
Grömitz,Schleswig-Holstein,10,DE,Germany
Gaisbach,Baden-Württemberg,01,DE,Germany
Schiphorst,Schleswig-Holstein,10,DE,Germany
Miesau,Rhineland-Palatinate,08,DE,Germany
Ortenberg,Hesse,05,DE,Germany
"Strehla, Stadt",Saxony,13,DE,Germany
Aldersbach,Bavaria,02,DE,Germany
Butzweiler,Rhineland-Palatinate,08,DE,Germany
Dreisbach,Rhineland-Palatinate,08,DE,Germany
Wolfach,Baden-Württemberg,01,DE,Germany
Holzminden,Lower Saxony,06,DE,Germany
Langelsheim,Lower Saxony,06,DE,Germany
Gerlachsheim,Baden-Württemberg,01,DE,Germany
Sulzbach-Rosenberg,Bavaria,02,DE,Germany
Friedeburg,Lower Saxony,06,DE,Germany
Riegelsberg,Saarland,09,DE,Germany
Denkingen,Baden-Württemberg,01,DE,Germany
Kamp-Lintfort,North Rhine-Westphalia,07,DE,Germany
Michelau,Bavaria,02,DE,Germany
Bad Aibling,Bavaria,02,DE,Germany
Kaltenberg,Bavaria,02,DE,Germany
Abensberg,Bavaria,02,DE,Germany
"Heldrungen, Stadt",Thuringia,15,DE,Germany
Schwedt (Oder),Brandenburg,11,DE,Germany
Saarwellingen,Saarland,09,DE,Germany
Eulenbis,Rhineland-Palatinate,08,DE,Germany
Auerbach,Saxony,13,DE,Germany
Einbeck,Lower Saxony,06,DE,Germany
Bürgerheide,Berlin,16,DE,Germany
Ueckermünde,Mecklenburg-Vorpommern,12,DE,Germany
Bausendorf,Rhineland-Palatinate,08,DE,Germany
"Steinau an der Straße, Stadt",Hesse,05,DE,Germany
Steinau,Hesse,05,DE,Germany
Spalt,Bavaria,02,DE,Germany
Buchenbach,Baden-Württemberg,01,DE,Germany
Dreieich,Hesse,05,DE,Germany
Zwönitz,Saxony,13,DE,Germany
Rülzheim,Rhineland-Palatinate,08,DE,Germany
Großenhain,Saxony,13,DE,Germany
Findorff-Bürgerweide,Bremen,03,DE,Germany
Sögel,Lower Saxony,06,DE,Germany
Oelsnitz,Saxony,13,DE,Germany
Neuenstadt am Kocher,Baden-Württemberg,01,DE,Germany
Wörth am Rhein,Rhineland-Palatinate,08,DE,Germany
Trochtelfingen,Baden-Württemberg,01,DE,Germany
Grafenhausen,Baden-Württemberg,01,DE,Germany
Hettenleidelheim,Rhineland-Palatinate,08,DE,Germany
Delbrück,North Rhine-Westphalia,07,DE,Germany
Bad Driburg,North Rhine-Westphalia,07,DE,Germany
Heimenkirch,Bavaria,02,DE,Germany
Niederdorf,Saxony,13,DE,Germany
Bad Staffelstein,Bavaria,02,DE,Germany
Gemünden,Hesse,05,DE,Germany
Denkingen,Baden-Württemberg,01,DE,Germany
Michelau,Bavaria,02,DE,Germany
Bad Aibling,Bavaria,02,DE,Germany
Weiden,Saxony-Anhalt,14,DE,Germany
"Heldrungen, Stadt",Thuringia,15,DE,Germany
Wolnzach,Bavaria,02,DE,Germany
Wiesentheid,Bavaria,02,DE,Germany
Schwedt (Oder),Brandenburg,11,DE,Germany
Bühl,Bavaria,02,DE,Germany
"Strehla, Stadt",Saxony,13,DE,Germany
Butzweiler,Rhineland-Palatinate,08,DE,Germany
Wolfach,Baden-Württemberg,01,DE,Germany
Selbach (Sieg),Rhineland-Palatinate,08,DE,Germany
Haren,Lower Saxony,06,DE,Germany
Kaltenkirchen,Schleswig-Holstein,10,DE,Germany
Giebelstadt,Bavaria,02,DE,Germany
Penzing,Bavaria,02,DE,Germany
Windach,Bavaria,02,DE,Germany
Immensen,Lower Saxony,06,DE,Germany
Hermeskeil,Rhineland-Palatinate,08,DE,Germany
Elxleben,Thuringia,15,DE,Germany
Siegburg,North Rhine-Westphalia,07,DE,Germany
Wasserburg am Inn,Bavaria,02,DE,Germany
Langendorf,Mecklenburg-Vorpommern,12,DE,Germany
Waltershausen,Bavaria,02,DE,Germany
Gößnitz,Thuringia,15,DE,Germany
Blankensee,Mecklenburg-Vorpommern,12,DE,Germany
Günzburg,Bavaria,02,DE,Germany
Haag in Oberbayern,Bavaria,02,DE,Germany
Fischbachau,Bavaria,02,DE,Germany
Epfendorf,Baden-Württemberg,01,DE,Germany
Mingolsheim,Baden-Württemberg,01,DE,Germany
Bad Homburg,Hesse,05,DE,Germany
Bergheim,Hesse,05,DE,Germany
Nabburg,Bavaria,02,DE,Germany
Rainrod,Hesse,05,DE,Germany
Ochsenburg,Baden-Württemberg,01,DE,Germany
Langstadt,Hesse,05,DE,Germany
Glems,Baden-Württemberg,01,DE,Germany
Bergen,Lower Saxony,06,DE,Germany
Twist,Lower Saxony,06,DE,Germany
Mützingen,Lower Saxony,06,DE,Germany
Rodgau,Hesse,05,DE,Germany
Baden Baden,Baden-Württemberg,01,DE,Germany
Wesel,North Rhine-Westphalia,07,DE,Germany
Murnau,Bavaria,02,DE,Germany
Allersdorf,Bavaria,02,DE,Germany
Putzkau,Saxony,13,DE,Germany
Zaisersweiher,Baden-Württemberg,01,DE,Germany
Heist,Schleswig-Holstein,10,DE,Germany
Tecklenburg,North Rhine-Westphalia,07,DE,Germany
Schwollen,Rhineland-Palatinate,08,DE,Germany
Wildemann,Lower Saxony,06,DE,Germany
Burgheim,Baden-Württemberg,01,DE,Germany
Westerhorn,Schleswig-Holstein,10,DE,Germany
Winterlingen,Baden-Württemberg,01,DE,Germany
Wachenheim an der Weinstraße,Rhineland-Palatinate,08,DE,Germany
Petershagen,Brandenburg,11,DE,Germany
Herborn,Rhineland-Palatinate,08,DE,Germany
Kisdorf,Schleswig-Holstein,10,DE,Germany
Altötting,Bavaria,02,DE,Germany
Geislautern,Saarland,09,DE,Germany
Boltenhagen,Mecklenburg-Vorpommern,12,DE,Germany
Löffingen,Baden-Württemberg,01,DE,Germany
Sundern,North Rhine-Westphalia,07,DE,Germany
Windecken,Hesse,05,DE,Germany
Oppach,Saxony,13,DE,Germany
Niederlichtenau,Saxony,13,DE,Germany
Gensingen,Rhineland-Palatinate,08,DE,Germany
Heidesheim am Rhein,Rhineland-Palatinate,08,DE,Germany
Altjührden,Lower Saxony,06,DE,Germany
Hunolstein,Rhineland-Palatinate,08,DE,Germany
Freilingen,Rhineland-Palatinate,08,DE,Germany
Gräfenhain,Saxony,13,DE,Germany
Wünsdorf,Brandenburg,11,DE,Germany
Schopfloch,Baden-Württemberg,01,DE,Germany
Greven,Lower Saxony,06,DE,Germany
Kyffhäuser Gebirge,Thuringia,15,DE,Germany
Taufkirchen,Bavaria,02,DE,Germany
Südlohn,North Rhine-Westphalia,07,DE,Germany
Schwerinsburg,Mecklenburg-Vorpommern,12,DE,Germany
Prenzlau,Brandenburg,11,DE,Germany
Bredenborn,North Rhine-Westphalia,07,DE,Germany
Günthersdorf,Saxony,13,DE,Germany
Werningerode,Thuringia,15,DE,Germany
Simmern/ Hunsrück,Rhineland-Palatinate,08,DE,Germany
Parchim,Mecklenburg-Vorpommern,12,DE,Germany
Triftern,Bavaria,02,DE,Germany
Waldkirch,Bavaria,02,DE,Germany
"Berlin, Stadt",Berlin,16,DE,Germany
Duisburg,North Rhine-Westphalia,07,DE,Germany
Bad Soden-Salmünster,Hesse,05,DE,Germany
Brand,Bavaria,02,DE,Germany
Zwenkau,Saxony,13,DE,Germany
Saarwellingen,Saarland,09,DE,Germany
Wriezen,Brandenburg,11,DE,Germany
Zirndorf,Bavaria,02,DE,Germany
Binzwangen,Baden-Württemberg,01,DE,Germany
Freigericht,Hesse,05,DE,Germany
Schönwalde-Glien,Brandenburg,11,DE,Germany
Waldweiler,Rhineland-Palatinate,08,DE,Germany
Thiede,Lower Saxony,06,DE,Germany
Kell am See,Rhineland-Palatinate,08,DE,Germany
Schöndorf,Rhineland-Palatinate,08,DE,Germany
Eschenbach i.d.OPf.,Bavaria,02,DE,Germany
Bestwig,North Rhine-Westphalia,07,DE,Germany
Lauenburg,Schleswig-Holstein,10,DE,Germany
Sandel,Lower Saxony,06,DE,Germany
Wassertrüdingen,Bavaria,02,DE,Germany
Neukölln,Berlin,16,DE,Germany
Coppengrave,Lower Saxony,06,DE,Germany
Coburg,Bavaria,02,DE,Germany
Ellingen,Bavaria,02,DE,Germany
Weitramsdorf,Bavaria,02,DE,Germany
Buchenberg,Bavaria,02,DE,Germany
Neufra,Baden-Württemberg,01,DE,Germany
Fürstenberg,Lower Saxony,06,DE,Germany
Nassenfels,Bavaria,02,DE,Germany
Sontheim,Bavaria,02,DE,Germany
Ispringen,Baden-Württemberg,01,DE,Germany
Eningen unter Achalm,Baden-Württemberg,01,DE,Germany
Oberfeld,Hesse,05,DE,Germany
Hormersdorf,Bavaria,02,DE,Germany
Forst,Brandenburg,11,DE,Germany
Haddeby,Schleswig-Holstein,10,DE,Germany
Kappeln,Schleswig-Holstein,10,DE,Germany
Bad Muskau,Saxony,13,DE,Germany
Husby,Schleswig-Holstein,10,DE,Germany
Oberloquitz,Thuringia,15,DE,Germany
Rieschweiler,Rhineland-Palatinate,08,DE,Germany
Wasungen,Thuringia,15,DE,Germany
Fensterbach,Bavaria,02,DE,Germany
Rodgau,Hesse,05,DE,Germany
Baden Baden,Baden-Württemberg,01,DE,Germany
Wesel,North Rhine-Westphalia,07,DE,Germany
"Osterburg (Altmark), Stadt",Saxony-Anhalt,14,DE,Germany
Obermassing,Bavaria,02,DE,Germany
Fischbach,Saarland,09,DE,Germany
Herschbach,Rhineland-Palatinate,08,DE,Germany
Vogelsberg,Hesse,05,DE,Germany
Burbach,Thuringia,15,DE,Germany
Staubing,Bavaria,02,DE,Germany
Wertheim,North Rhine-Westphalia,07,DE,Germany
Kruckenberg,Bavaria,02,DE,Germany
Endingen,Baden-Württemberg,01,DE,Germany
Frankenthal,Bavaria,02,DE,Germany
Großenaspe,Schleswig-Holstein,10,DE,Germany
Unewatt,Schleswig-Holstein,10,DE,Germany
"Bad Saulgau, Stadt",Baden-Württemberg,01,DE,Germany
Fischbachtal,Hesse,05,DE,Germany
Vaterstetten,Bavaria,02,DE,Germany
Buchen,Baden-Württemberg,01,DE,Germany
Weikersheim,Baden-Württemberg,01,DE,Germany
Büschfeld,Saarland,09,DE,Germany
Wehrheim,Hesse,05,DE,Germany
Primstal,Saarland,09,DE,Germany
Bad Gögging,Bavaria,02,DE,Germany
Röderaue,Saxony,13,DE,Germany
Lengfeld,Bavaria,02,DE,Germany
Kirchwalsede,Lower Saxony,06,DE,Germany
Leutesdorf,Rhineland-Palatinate,08,DE,Germany
Langen-Bergheim,Hesse,05,DE,Germany
Weißenhof,Baden-Württemberg,01,DE,Germany
Visbeck,Lower Saxony,06,DE,Germany
Neuhof,Brandenburg,11,DE,Germany
Stein bei Nürnberg,Bavaria,02,DE,Germany
Langenau,Hesse,05,DE,Germany
Kirberg,Hesse,05,DE,Germany
Geilenkirchen,North Rhine-Westphalia,07,DE,Germany
Bernbeuren,Bavaria,02,DE,Germany
Fredeburg,North Rhine-Westphalia,07,DE,Germany
Mügeln,Saxony-Anhalt,14,DE,Germany
Lauchhammer,Brandenburg,11,DE,Germany
Wemding,Bavaria,02,DE,Germany
Königsbrunn,Bavaria,02,DE,Germany
Reisbach,Bavaria,02,DE,Germany
Bayerisch Eisenstein,Bavaria,02,DE,Germany
Mackenbach,Rhineland-Palatinate,08,DE,Germany
Mittenwald,Bavaria,02,DE,Germany
Stimpfach,Baden-Württemberg,01,DE,Germany
Langsdorf,Mecklenburg-Vorpommern,12,DE,Germany
Neusorg,Bavaria,02,DE,Germany
Varel,Lower Saxony,06,DE,Germany
Hohenlimburg,North Rhine-Westphalia,07,DE,Germany
Schemmerhofen,Baden-Württemberg,01,DE,Germany
Hattersheim,Hesse,05,DE,Germany
Witzenhausen,Hesse,05,DE,Germany
Wölfersheim,Hesse,05,DE,Germany
Oberstdorf,Bavaria,02,DE,Germany
Schönsee,Bavaria,02,DE,Germany
Vreden,North Rhine-Westphalia,07,DE,Germany
Alsdorf,Rhineland-Palatinate,08,DE,Germany
Crimmitschau,Saxony,13,DE,Germany
Dettingen an der Erms,Baden-Württemberg,01,DE,Germany
Dietenhausen,Baden-Württemberg,01,DE,Germany
Wettelsheim,Bavaria,02,DE,Germany
Rückersdorf,Bavaria,02,DE,Germany
Niedernhausen,Hesse,05,DE,Germany
Freilingen,Rhineland-Palatinate,08,DE,Germany
Wald,Bavaria,02,DE,Germany
Urbach,Rhineland-Palatinate,08,DE,Germany
Freiberg am Neckar,Baden-Württemberg,01,DE,Germany
Lichterfelde,Berlin,16,DE,Germany
Wallenhorst,Lower Saxony,06,DE,Germany
Himmelpfort,Brandenburg,11,DE,Germany
Marlach,Baden-Württemberg,01,DE,Germany
Hahn,Lower Saxony,06,DE,Germany
Rhede,North Rhine-Westphalia,07,DE,Germany
Wettringen,North Rhine-Westphalia,07,DE,Germany
Ober-Ramstadt,Hesse,05,DE,Germany
Refrath,North Rhine-Westphalia,07,DE,Germany
Ückeritz,Mecklenburg-Vorpommern,12,DE,Germany
Brieselang,Brandenburg,11,DE,Germany
Feilbingert,Rhineland-Palatinate,08,DE,Germany
Groß-Zimmern,Hesse,05,DE,Germany
Baustert,Rhineland-Palatinate,08,DE,Germany
Bischofsmais,Bavaria,02,DE,Germany
Ladbergen,North Rhine-Westphalia,07,DE,Germany
Enzenreuth,Bavaria,02,DE,Germany
Schönthal,Bavaria,02,DE,Germany
Bad Liebenzell,Baden-Württemberg,01,DE,Germany
Niederöfflingen,Rhineland-Palatinate,08,DE,Germany
Kurtscheid,Rhineland-Palatinate,08,DE,Germany
Marxheim,Bavaria,02,DE,Germany
Borkheide,Brandenburg,11,DE,Germany
Bardenbach,Saarland,09,DE,Germany
Garmisch,Bavaria,02,DE,Germany
Schuby,Schleswig-Holstein,10,DE,Germany
Perchting,Bavaria,02,DE,Germany
"Bamberg, Rothof",Bavaria,02,DE,Germany
Odelzhausen,Bavaria,02,DE,Germany
Kühndorf,Thuringia,15,DE,Germany
Stadtilm,Thuringia,15,DE,Germany
Fladderlohausen,Lower Saxony,06,DE,Germany
Stolpe,Schleswig-Holstein,10,DE,Germany
Eisenbach,Hesse,05,DE,Germany
Marktbreit,Bavaria,02,DE,Germany
Zwiefalten,Baden-Württemberg,01,DE,Germany
Schwabstedt,Schleswig-Holstein,10,DE,Germany
Friedenau,Berlin,16,DE,Germany
Edling,Bavaria,02,DE,Germany
Schmölln,Thuringia,15,DE,Germany
Pottenstein,Bavaria,02,DE,Germany
Wilburgstetten,Bavaria,02,DE,Germany
Uettingen,Bavaria,02,DE,Germany
Loitz,Mecklenburg-Vorpommern,12,DE,Germany
Buschhoven,North Rhine-Westphalia,07,DE,Germany
Hürth,North Rhine-Westphalia,07,DE,Germany
Illertissen,Bavaria,02,DE,Germany
Salzwedel,Saxony-Anhalt,14,DE,Germany
Weißenfels,Saxony-Anhalt,14,DE,Germany
Eisenach,Rhineland-Palatinate,08,DE,Germany
"Gundelfingen a.d.Donau, Stadt",Bavaria,02,DE,Germany
Ingolstadt,Bavaria,02,DE,Germany
Damme,Lower Saxony,06,DE,Germany
Hünfeld,Hesse,05,DE,Germany
Kapfenberg,Baden-Württemberg,01,DE,Germany
Bad Lippspringe,North Rhine-Westphalia,07,DE,Germany
Bischofswerda,Saxony,13,DE,Germany
Nobitz,Thuringia,15,DE,Germany
Kotteritz,Thuringia,15,DE,Germany
Oberkossa,Thuringia,15,DE,Germany
Halberstadt,Saxony-Anhalt,14,DE,Germany
Schwerin,Mecklenburg-Vorpommern,12,DE,Germany
Bad Reichenhall,Bavaria,02,DE,Germany
Hückeswagen,North Rhine-Westphalia,07,DE,Germany
Gießen,Hesse,05,DE,Germany
Immenstadt im Allgäu,Bavaria,02,DE,Germany
Freiberg,Saxony,13,DE,Germany
Goslar,Lower Saxony,06,DE,Germany
Salzgitter,Lower Saxony,06,DE,Germany
Altheim,Bavaria,02,DE,Germany
Rodalben,Rhineland-Palatinate,08,DE,Germany
Düren,North Rhine-Westphalia,07,DE,Germany
Rottweil,Baden-Württemberg,01,DE,Germany
Glinde,Saxony-Anhalt,14,DE,Germany
Buchholz,Rhineland-Palatinate,08,DE,Germany
Radis,Saxony-Anhalt,14,DE,Germany
Solingen,North Rhine-Westphalia,07,DE,Germany
Rüdersdorf,Thuringia,15,DE,Germany
Ebersbrunn,Bavaria,02,DE,Germany
Neumark,Saxony-Anhalt,14,DE,Germany
Weischlitz,Saxony,13,DE,Germany
Freital,Saxony,13,DE,Germany
Ingelheim am Rhein,Rhineland-Palatinate,08,DE,Germany
Braak,Schleswig-Holstein,10,DE,Germany
Lappersdorf,Bavaria,02,DE,Germany
Hessen,Saxony-Anhalt,14,DE,Germany
Löningen,Lower Saxony,06,DE,Germany
Kronach,Thuringia,15,DE,Germany
Plauen,Saxony,13,DE,Germany
Bad Zwischenahn,Lower Saxony,06,DE,Germany
Laubach,Baden-Württemberg,01,DE,Germany
Neckarwestheim,Baden-Württemberg,01,DE,Germany
Knittlingen,Baden-Württemberg,01,DE,Germany
Neustrelitz,Mecklenburg-Vorpommern,12,DE,Germany
Schneverdingen,Lower Saxony,06,DE,Germany
Fürstenwalde,Saxony,13,DE,Germany
Mehringen,Saxony-Anhalt,14,DE,Germany
Augustusburg,Saxony,13,DE,Germany
Dietkirchen,Hesse,05,DE,Germany
Tettnang,Baden-Württemberg,01,DE,Germany
Stade,Lower Saxony,06,DE,Germany
Spangdahlem,Rhineland-Palatinate,08,DE,Germany
Gaggenau,Baden-Württemberg,01,DE,Germany
Büren,North Rhine-Westphalia,07,DE,Germany
Rehling,Bavaria,02,DE,Germany
Helmbrechts,Bavaria,02,DE,Germany
Soltau,Lower Saxony,06,DE,Germany
Kronberg,Bavaria,02,DE,Germany
Holle,Lower Saxony,06,DE,Germany
Mellingen,Thuringia,15,DE,Germany
Schorndorf,Bavaria,02,DE,Germany
List,Schleswig-Holstein,10,DE,Germany
Schnaittach,Bavaria,02,DE,Germany
Chossewitz,Brandenburg,11,DE,Germany
Malchin,Mecklenburg-Vorpommern,12,DE,Germany
Bad Düben,Saxony,13,DE,Germany
Gelnhausen,Hesse,05,DE,Germany
Teningen,Baden-Württemberg,01,DE,Germany
Müllenbach,North Rhine-Westphalia,07,DE,Germany
Küsel,Saxony-Anhalt,14,DE,Germany
Alstädten,North Rhine-Westphalia,07,DE,Germany
Knetzgau,Bavaria,02,DE,Germany
Gundelsheim,Bavaria,02,DE,Germany
Leinefelde,Thuringia,15,DE,Germany
Eggenfelden,Bavaria,02,DE,Germany
Rödelsee,Bavaria,02,DE,Germany
Free State of Thuringia,Thuringia,15,DE,Germany
Pfullendorf,Thuringia,15,DE,Germany
Kemnitz,Saxony-Anhalt,14,DE,Germany
Kellinghausen,Lower Saxony,06,DE,Germany
Günzburg,Bavaria,02,DE,Germany
Greiz,Thuringia,15,DE,Germany
Mingolsheim,Baden-Württemberg,01,DE,Germany
Murnau,Bavaria,02,DE,Germany
Allersdorf,Bavaria,02,DE,Germany
Putzkau,Saxony,13,DE,Germany
Gronau,Schleswig-Holstein,10,DE,Germany
Beckedorf,Lower Saxony,06,DE,Germany
Reichwalde,Saxony,13,DE,Germany
Parsberg,Bavaria,02,DE,Germany
Machtolsheim,Baden-Württemberg,01,DE,Germany
Wolfegg,Baden-Württemberg,01,DE,Germany
Moormerland,Lower Saxony,06,DE,Germany
Metzingen,Lower Saxony,06,DE,Germany
Forchheim,Bavaria,02,DE,Germany
Irsch,Rhineland-Palatinate,08,DE,Germany
Waltenhofen,Bavaria,02,DE,Germany
Mittelbach,Rhineland-Palatinate,08,DE,Germany
Gorgast,Brandenburg,11,DE,Germany
Brake,North Rhine-Westphalia,07,DE,Germany
Leuben,Saxony,13,DE,Germany
Waischenfeld,Bavaria,02,DE,Germany
Katzwinkel,Rhineland-Palatinate,08,DE,Germany
Betzdorf,Rhineland-Palatinate,08,DE,Germany
Mittelsinn,Bavaria,02,DE,Germany
Barth,Mecklenburg-Vorpommern,12,DE,Germany
Gotha,Saxony,13,DE,Germany
Bad Hersfeld,Hesse,05,DE,Germany
Albstadt,Baden-Württemberg,01,DE,Germany
Reichenbacherhöfe,Baden-Württemberg,01,DE,Germany
Viersen,North Rhine-Westphalia,07,DE,Germany
Wörrstadt,Rhineland-Palatinate,08,DE,Germany
Grafenau,Bavaria,02,DE,Germany
